epoch,train_total,val_total,train_hard,train_soft,train_feat,val_hard,val_soft,val_feat
1,0.6228188824653625,0.4961613217989604,0.6421839737892151,0.1068425805568695,0.4707910783290863,0.5090546122303715,0.07827818986994249,0.38779877512543287
2,0.5624516525268555,0.4898295678474285,0.5774934468269348,0.10161398983001708,0.42574013471603395,0.5074023714771977,0.08645391822965057,0.3623724325939461
3,0.5446941199302673,0.4426814792332826,0.5591687304973603,0.10374751773476601,0.4071725134849548,0.4395575766210203,0.10472141192467124,0.3452491716102318
4,0.5187081551551819,0.4464888396086516,0.526866791009903,0.10902598476409912,0.3906453511714935,0.44506035138059546,0.11681497883465555,0.33300699459181893
5,0.49683799386024474,0.4439370168579949,0.500834848165512,0.11092163100838662,0.37659036660194395,0.44197421217406235,0.12018528953194618,0.32833163495416995
6,0.47883896708488466,0.4137943618827396,0.47978199768066404,0.11212211540341377,0.3645164427757263,0.3925414013641852,0.1509386841897611,0.3124459076810766
7,0.4711986405849457,0.4340130267319856,0.4731148865222931,0.111047279804945,0.3556801218986511,0.42031367950969273,0.16347014241748387,0.3025080175311477
8,0.4499852364063263,0.4303488080148344,0.444233136177063,0.12211800515651702,0.34128879833221437,0.3957642714182536,0.20265363570716646,0.308392404406159
9,0.4609856970310211,0.4123781952593062,0.46346658730506896,0.11541725048422813,0.33977970194816587,0.4060631499246315,0.13176575923959413,0.2953475520566658
10,0.44592091226577757,0.387390351957745,0.4456841881275177,0.11432775476574898,0.3321455099582672,0.37506758118117295,0.10585400365568974,0.3102894684782735
11,0.43247463393211366,0.3793206479814317,0.42889549732208254,0.11707383424043655,0.32375211906433105,0.37124235762490165,0.12883978502617943,0.2693302090521212
12,0.42376318979263305,0.37100104711673876,0.4185564169883728,0.11884003669023514,0.3170722916126251,0.3463107982167491,0.16074199533021008,0.2678696237228535
13,0.41638920998573303,0.4005692877151348,0.4101685785055161,0.12035891491174698,0.31054509472846986,0.3838083534329026,0.14584782278096234,0.29383031416822364
14,0.4027852935791016,0.3583724531862471,0.39326013922691344,0.12248288667201995,0.30252776145935056,0.34045741072407476,0.1483385176570327,0.25183570550547707
15,0.40189159905910493,0.37086862325668335,0.3932870831489563,0.12201241451501846,0.2999563821554184,0.3468363423038412,0.15152688393438304,0.2754170580042733
16,0.39414996123313906,0.37381566453863074,0.38350380849838256,0.12103126829862594,0.29795971262454984,0.3349800131939076,0.21138768891493478,0.2530444899091014
17,0.3854452159404755,0.3378589081543463,0.3722004526853561,0.12767250192165375,0.2886771558523178,0.31428933805889553,0.1500560094912847,0.24279856461065788
18,0.3819467556476593,0.31913065248065525,0.3709979327917099,0.12269393128156662,0.28480007457733153,0.29971905438988294,0.13009189207244803,0.2343324902984831
19,0.3799337708950043,0.4283281095601894,0.36759407925605775,0.12283424443006516,0.2858921366930008,0.40100734736080523,0.20276682603138466,0.289309729580526
20,0.36843442225456235,0.40502086612913346,0.3519828472137451,0.12750052493810654,0.27932090997695924,0.38272666213689027,0.17066761409794842,0.2863730589548747
21,0.3614537777900696,0.3438380123288543,0.34399107122421263,0.12635321688652038,0.2758468716144562,0.3184541165828705,0.14846157834485726,0.25460551899892314
22,0.3592449266910553,0.3139804480252443,0.3408474543094635,0.12737337446212768,0.27479897916316987,0.2850607032025302,0.1495147783447195,0.23194507647443702
23,0.35746524310112,0.3269657144943873,0.33789424204826357,0.12850659108161927,0.27462431395053866,0.30434518721368575,0.14671524117390314,0.2330316983991199
24,0.35216191470623015,0.30842179004792813,0.33346657967567445,0.12501822352409364,0.270766138792038,0.2770731333229277,0.1490543653015737,0.23251427544487846
25,0.35115628695487977,0.3318234047404042,0.33143666803836824,0.12668732106685637,0.27048140692710876,0.30468383707382063,0.14001693024679465,0.2551321221722497
26,0.3483873859643936,0.315544151045658,0.32658715307712555,0.1306140047311783,0.2686405938863754,0.2896077859180945,0.14898524157426976,0.2270770906298249
27,0.33913310182094575,0.3521062069469028,0.31707693719863894,0.1289813371896744,0.261616148352623,0.31945484159169374,0.17037279848699216,0.25791991750399273
28,0.3356476719379425,0.3240216026703517,0.31090381276607515,0.13216281843185423,0.26122052550315855,0.29350066074618586,0.16753461956977844,0.22770251885608392
29,0.3252123659849167,0.30564605472264467,0.2992921243906021,0.1286984446644783,0.25699448001384734,0.27024086592374025,0.16109864524117223,0.2271595111599675
30,0.3240143030881882,0.30020416334823324,0.2982298001050949,0.1281627769470215,0.2560153647661209,0.26160841683546704,0.1661078676029488,0.2241530214194898
31,0.31503103756904605,0.3145548094201971,0.2864057122468948,0.12826887333393097,0.2535545864105225,0.28198553732147924,0.1646479128135575,0.22590186143362964
32,0.3147643607854843,0.31009474562274086,0.2849837838411331,0.13095859742164612,0.25329377126693725,0.2748328579796685,0.16986827883455488,0.22250418696138594
33,0.30845112502574923,0.31117890609635246,0.2766194533109665,0.13311633908748627,0.24960868203639985,0.2728748807200679,0.1678750274909867,0.23267992503113216
34,0.3118251579999924,0.3455071796973546,0.28080642712116244,0.13353862178325654,0.2506635684967041,0.308545779298853,0.16810181874919822,0.2636486258771684
35,0.3056372343301773,0.2910839153660668,0.2731566172838211,0.13315345937013626,0.24827187132835388,0.25184083150492775,0.16725887689325544,0.21539222255901055
36,0.3034358983039856,0.29705027904775405,0.2710799912214279,0.13113015180826187,0.2478028622865677,0.2597756049147359,0.15919561049452535,0.2248289049775512
37,0.29980561327934263,0.29033869836065507,0.266295844912529,0.132967653632164,0.24502741813659668,0.24804228709803688,0.17275877186545618,0.2162715439443235
38,0.29646066212654115,0.30173719205238203,0.263116516828537,0.12974067986011506,0.2445229834318161,0.259322264680156,0.17706858891027946,0.2236367690342444
39,0.2903857877254486,0.3001757860183716,0.25296446871757505,0.13702250623703002,0.2406796861886978,0.2599168497103232,0.17637090826476062,0.21774238844712576
40,0.2930882171392441,0.28648096874908163,0.2567479286193848,0.13608288288116455,0.24179934084415436,0.24663098984294468,0.16393679242443154,0.21552745390821387
41,0.2926712419986725,0.3065424500792115,0.25727761268615723,0.13403934389352798,0.2412170296907425,0.2679796550008986,0.17421736099101878,0.22230493470474524
42,0.30028361666202547,0.2954606772572906,0.2659927395582199,0.1343107324242592,0.24598492646217346,0.25976354877154034,0.16589013790642773,0.21286382057048656
43,0.290897399187088,0.2947902618734925,0.25434753715991976,0.13366229897737503,0.24251810657978057,0.25638297641718827,0.16825403962974195,0.21615320223349113
44,0.2923979104757309,0.2863629537600058,0.25465066683292387,0.13656937366724015,0.2439054319858551,0.2470889742727633,0.1614920182360543,0.2165102208102191
45,0.287644753575325,0.2896597782770793,0.25181149303913114,0.13364613687992097,0.23760954928398131,0.24802605697402247,0.1728830643826061,0.21392205523120034
46,0.28847751331329347,0.30712718820130386,0.2515740654468536,0.13558232021331787,0.23900323510169982,0.2647425719985255,0.1746413853985292,0.2313832414370996
47,0.2939065401554108,0.28751355078485274,0.25677647376060486,0.13744451910257338,0.24309883546829222,0.2518505972844583,0.15910762824394084,0.2116194654394079
48,0.28938844776153566,0.2849675946765476,0.2520024610757828,0.13686360013484955,0.23975880873203279,0.24088526213610614,0.17484739312419184,0.21297897784798234
49,0.28596061730384825,0.292683575992231,0.2475253052711487,0.13607479178905488,0.23956821179389953,0.25110064778063035,0.17134821028621108,0.21836218844961236
50,0.2842490097284317,0.29957248656838026,0.24631584179401397,0.13535625392198564,0.23740347290039063,0.25948202389257924,0.17488247763227532,0.21823441706321858
51,0.284228196144104,0.28918577841034643,0.2455583999156952,0.1359028445482254,0.23855486845970153,0.24619925132504217,0.17806614273124272,0.2114215272444266
52,0.28376001405715945,0.292525401269948,0.245027867436409,0.1376891205906868,0.23644590413570404,0.251864113189556,0.17459561758571202,0.2128061160997108
53,0.28187784838676455,0.2881854358646605,0.24272657811641693,0.13768450832366944,0.23554629600048066,0.2418148782518175,0.18453487477920674,0.21184853657528205
54,0.27645537781715396,0.28665443427032894,0.23547640383243562,0.13838933980464935,0.23368363428115846,0.24381152788798013,0.17549563061307977,0.21112558135279902
55,0.2824103602170944,0.29163685496206637,0.2443050844669342,0.1355140423178673,0.23580862212181092,0.24994898725439002,0.17554667481669672,0.2133618626329634
56,0.28232208895683286,0.29987465065938457,0.24366771221160888,0.13741359847784043,0.23510203278064729,0.2592202099385085,0.1774527179422202,0.2172822963308405
57,0.27638730585575105,0.28590784470240277,0.23680328297615053,0.13437031638622285,0.2343797024488449,0.2404006360857575,0.1811411695347892,0.21095014115174612
58,0.27405032932758333,0.28665560097606096,0.23290145027637482,0.1361268332004547,0.23393754017353058,0.2428778741094801,0.17814144878475754,0.21066217400409556
