path,label
/mnt/c/workspace/journal/codes/Mark4.2/data/test/dragging_test_001.wav,dragging
/mnt/c/workspace/journal/codes/Mark4.2/data/test/dragging_test_002.wav,dragging
/mnt/c/workspace/journal/codes/Mark4.2/data/test/dragging_test_003.wav,dragging
/mnt/c/workspace/journal/codes/Mark4.2/data/test/dragging_test_004.wav,dragging
/mnt/c/workspace/journal/codes/Mark4.2/data/test/dragging_test_005.wav,dragging
/mnt/c/workspace/journal/codes/Mark4.2/data/test/dragging_test_006.wav,dragging
/mnt/c/workspace/journal/codes/Mark4.2/data/test/dragging_test_007.wav,dragging
/mnt/c/workspace/journal/codes/Mark4.2/data/test/dragging_test_008.wav,dragging
/mnt/c/workspace/journal/codes/Mark4.2/data/test/dragging_test_009.wav,dragging
/mnt/c/workspace/journal/codes/Mark4.2/data/test/dragging_test_010.wav,dragging
/mnt/c/workspace/journal/codes/Mark4.2/data/test/dragging_test_011.wav,dragging
/mnt/c/workspace/journal/codes/Mark4.2/data/test/dragging_test_012.wav,dragging
/mnt/c/workspace/journal/codes/Mark4.2/data/test/dragging_test_013.wav,dragging
/mnt/c/workspace/journal/codes/Mark4.2/data/test/dragging_test_014.wav,dragging
/mnt/c/workspace/journal/codes/Mark4.2/data/test/dragging_test_015.wav,dragging
/mnt/c/workspace/journal/codes/Mark4.2/data/test/dragging_test_016.wav,dragging
/mnt/c/workspace/journal/codes/Mark4.2/data/test/dragging_test_017.wav,dragging
/mnt/c/workspace/journal/codes/Mark4.2/data/test/dragging_test_018.wav,dragging
/mnt/c/workspace/journal/codes/Mark4.2/data/test/dragging_test_019.wav,dragging
/mnt/c/workspace/journal/codes/Mark4.2/data/test/dragging_test_020.wav,dragging
/mnt/c/workspace/journal/codes/Mark4.2/data/test/dragging_test_021.wav,dragging
/mnt/c/workspace/journal/codes/Mark4.2/data/test/dragging_test_022.wav,dragging
/mnt/c/workspace/journal/codes/Mark4.2/data/test/dragging_test_023.wav,dragging
/mnt/c/workspace/journal/codes/Mark4.2/data/test/dragging_test_024.wav,dragging
/mnt/c/workspace/journal/codes/Mark4.2/data/test/dragging_test_025.wav,dragging
/mnt/c/workspace/journal/codes/Mark4.2/data/test/dragging_test_026.wav,dragging
/mnt/c/workspace/journal/codes/Mark4.2/data/test/dragging_test_027.wav,dragging
/mnt/c/workspace/journal/codes/Mark4.2/data/test/dragging_test_028.wav,dragging
/mnt/c/workspace/journal/codes/Mark4.2/data/test/dragging_test_029.wav,dragging
/mnt/c/workspace/journal/codes/Mark4.2/data/test/dragging_test_030.wav,dragging
/mnt/c/workspace/journal/codes/Mark4.2/data/test/dragging_test_031.wav,dragging
/mnt/c/workspace/journal/codes/Mark4.2/data/test/dragging_test_032.wav,dragging
/mnt/c/workspace/journal/codes/Mark4.2/data/test/dragging_test_033.wav,dragging
/mnt/c/workspace/journal/codes/Mark4.2/data/test/dragging_test_034.wav,dragging
/mnt/c/workspace/journal/codes/Mark4.2/data/test/dragging_test_035.wav,dragging
/mnt/c/workspace/journal/codes/Mark4.2/data/test/dragging_test_036.wav,dragging
/mnt/c/workspace/journal/codes/Mark4.2/data/test/dragging_test_037.wav,dragging
/mnt/c/workspace/journal/codes/Mark4.2/data/test/dragging_test_038.wav,dragging
/mnt/c/workspace/journal/codes/Mark4.2/data/test/dragging_test_039.wav,dragging
/mnt/c/workspace/journal/codes/Mark4.2/data/test/dragging_test_040.wav,dragging
/mnt/c/workspace/journal/codes/Mark4.2/data/test/dragging_test_041.wav,dragging
/mnt/c/workspace/journal/codes/Mark4.2/data/test/dragging_test_042.wav,dragging
/mnt/c/workspace/journal/codes/Mark4.2/data/test/dragging_test_043.wav,dragging
/mnt/c/workspace/journal/codes/Mark4.2/data/test/dragging_test_044.wav,dragging
/mnt/c/workspace/journal/codes/Mark4.2/data/test/dragging_test_045.wav,dragging
/mnt/c/workspace/journal/codes/Mark4.2/data/test/dragging_test_046.wav,dragging
/mnt/c/workspace/journal/codes/Mark4.2/data/test/dragging_test_047.wav,dragging
/mnt/c/workspace/journal/codes/Mark4.2/data/test/dragging_test_048.wav,dragging
/mnt/c/workspace/journal/codes/Mark4.2/data/test/dragging_test_049.wav,dragging
/mnt/c/workspace/journal/codes/Mark4.2/data/test/dragging_test_050.wav,dragging
